Purpose,Structure,SourceCodeSize,MainCppSize,OptimizationLevel,BinarySize,Linkage,UniqueGadgets,ROPgadgetTime
arithmetic,dense,large,314,O0,15960,dynamic,78,.100
arithmetic,dense,large,314,O0,900312,static,40772,.762
arithmetic,dense,large,314,O1,15968,dynamic,65,.051
arithmetic,dense,large,314,O1,900280,static,40857,.766
arithmetic,dense,large,314,O2,15968,dynamic,62,.050
arithmetic,dense,large,314,O2,900280,static,40850,.757
arithmetic,dense,large,314,O3,15968,dynamic,69,.050
arithmetic,dense,large,314,O3,900280,static,40829,.744
arithmetic,dense,medium,250,O0,15960,dynamic,73,.050
arithmetic,dense,medium,250,O0,900312,static,40776,.756
arithmetic,dense,medium,250,O1,15968,dynamic,69,.050
arithmetic,dense,medium,250,O1,900280,static,40882,.750
arithmetic,dense,medium,250,O2,15968,dynamic,55,.050
arithmetic,dense,medium,250,O2,900280,static,40870,.748
arithmetic,dense,medium,250,O3,15968,dynamic,69,.049
arithmetic,dense,medium,250,O3,900280,static,40812,.742
arithmetic,dense,small,169,O0,15960,dynamic,62,.048
arithmetic,dense,small,169,O0,900312,static,40753,.746
arithmetic,dense,small,169,O1,15968,dynamic,52,.049
arithmetic,dense,small,169,O1,900280,static,40805,.752
arithmetic,dense,small,169,O2,15968,dynamic,51,.050
arithmetic,dense,small,169,O2,900280,static,40808,.741
arithmetic,dense,small,169,O3,15968,dynamic,51,.050
arithmetic,dense,small,169,O3,900280,static,40808,.743
arithmetic,sparse,large,487,O0,16040,dynamic,88,.050
arithmetic,sparse,large,487,O0,900392,static,40849,.744
arithmetic,sparse,large,487,O1,16048,dynamic,79,.050
arithmetic,sparse,large,487,O1,900360,static,40793,.756
arithmetic,sparse,large,487,O2,16048,dynamic,82,.050
arithmetic,sparse,large,487,O2,900360,static,40864,.743
arithmetic,sparse,large,487,O3,16048,dynamic,96,.052
arithmetic,sparse,large,487,O3,900360,static,40846,.747
arithmetic,sparse,medium,411,O0,16040,dynamic,84,.050
arithmetic,sparse,medium,411,O0,900392,static,40800,.742
arithmetic,sparse,medium,411,O1,16048,dynamic,70,.050
arithmetic,sparse,medium,411,O1,900360,static,40824,.749
arithmetic,sparse,medium,411,O2,16048,dynamic,79,.050
arithmetic,sparse,medium,411,O2,900360,static,40861,.743
arithmetic,sparse,medium,411,O3,16048,dynamic,95,.050
arithmetic,sparse,medium,411,O3,904456,static,40863,.752
arithmetic,sparse,small,218,O0,16000,dynamic,69,.050
arithmetic,sparse,small,218,O0,900344,static,40819,.744
arithmetic,sparse,small,218,O1,16008,dynamic,56,.050
arithmetic,sparse,small,218,O1,900320,static,40808,.756
arithmetic,sparse,small,218,O2,16008,dynamic,56,.050
arithmetic,sparse,small,218,O2,900320,static,40832,.738
arithmetic,sparse,small,218,O3,16008,dynamic,56,.050
arithmetic,sparse,small,218,O3,900320,static,40832,.748
fileio,dense,large,333,O0,16048,dynamic,76,.050
fileio,dense,large,333,O0,900224,static,40867,.753
fileio,dense,large,333,O1,16056,dynamic,84,.051
fileio,dense,large,333,O1,900280,static,40860,.756
fileio,dense,large,333,O2,16056,dynamic,62,.051
fileio,dense,large,333,O2,900280,static,40840,.755
fileio,dense,large,333,O3,16056,dynamic,62,.050
fileio,dense,large,333,O3,900280,static,40840,.739
fileio,dense,medium,262,O0,16048,dynamic,69,.049
fileio,dense,medium,262,O0,900224,static,40853,.754
fileio,dense,medium,262,O1,16056,dynamic,76,.050
fileio,dense,medium,262,O1,900280,static,40894,.752
fileio,dense,medium,262,O2,16056,dynamic,61,.051
fileio,dense,medium,262,O2,900280,static,40840,.746
fileio,dense,medium,262,O3,16056,dynamic,61,.050
fileio,dense,medium,262,O3,900280,static,40840,.743
fileio,dense,small,200,O0,16048,dynamic,64,.050
fileio,dense,small,200,O0,900224,static,40851,.758
fileio,dense,small,200,O1,16056,dynamic,61,.050
fileio,dense,small,200,O1,900280,static,40839,.754
fileio,dense,small,200,O2,16056,dynamic,58,.051
fileio,dense,small,200,O2,900280,static,40796,.750
fileio,dense,small,200,O3,16056,dynamic,58,.050
fileio,dense,small,200,O3,900280,static,40796,.745
fileio,sparse,large,422,O0,16104,dynamic,78,.050
fileio,sparse,large,422,O0,900272,static,40921,.745
fileio,sparse,large,422,O1,16104,dynamic,81,.051
fileio,sparse,large,422,O1,900336,static,40844,.755
fileio,sparse,large,422,O2,16104,dynamic,69,.051
fileio,sparse,large,422,O2,900336,static,40813,.771
fileio,sparse,large,422,O3,16104,dynamic,69,.051
fileio,sparse,large,422,O3,900336,static,40813,.749
fileio,sparse,medium,341,O0,16104,dynamic,76,.050
fileio,sparse,medium,341,O0,900272,static,40821,.749
fileio,sparse,medium,341,O1,16104,dynamic,75,.051
fileio,sparse,medium,341,O1,900336,static,40858,.743
fileio,sparse,medium,341,O2,16104,dynamic,67,.051
fileio,sparse,medium,341,O2,900336,static,40828,.744
fileio,sparse,medium,341,O3,16104,dynamic,67,.050
fileio,sparse,medium,341,O3,900336,static,40828,.754
fileio,sparse,small,269,O0,16096,dynamic,65,.050
fileio,sparse,small,269,O0,900272,static,40864,.746
fileio,sparse,small,269,O1,16104,dynamic,56,.049
fileio,sparse,small,269,O1,900336,static,40881,.762
fileio,sparse,small,269,O2,16104,dynamic,65,.051
fileio,sparse,small,269,O2,900336,static,40848,.743
fileio,sparse,small,269,O3,16104,dynamic,65,.050
fileio,sparse,small,269,O3,900336,static,40848,.764
string,dense,large,323,O0,16056,dynamic,71,.051
string,dense,large,323,O0,900312,static,40781,.751
string,dense,large,323,O1,16064,dynamic,76,.049
string,dense,large,323,O1,900280,static,40856,.743
string,dense,large,323,O2,16064,dynamic,69,.050
string,dense,large,323,O2,900280,static,40769,.770
string,dense,large,323,O3,16064,dynamic,71,.051
string,dense,large,323,O3,900280,static,40776,.749
string,dense,medium,314,O0,16056,dynamic,67,.050
string,dense,medium,314,O0,900312,static,40710,.744
string,dense,medium,314,O1,16064,dynamic,76,.050
string,dense,medium,314,O1,900280,static,40824,.746
string,dense,medium,314,O2,16064,dynamic,67,.050
string,dense,medium,314,O2,900280,static,40770,.750
string,dense,medium,314,O3,16064,dynamic,71,.051
string,dense,medium,314,O3,900280,static,40839,.743
string,dense,small,235,O0,16056,dynamic,66,.049
string,dense,small,235,O0,900312,static,40740,.754
string,dense,small,235,O1,16064,dynamic,75,.050
string,dense,small,235,O1,900280,static,40822,.749
string,dense,small,235,O2,16064,dynamic,70,.050
string,dense,small,235,O2,900280,static,40822,.748
string,dense,small,235,O3,16024,dynamic,57,.049
string,dense,small,235,O3,900280,static,40844,.745
string,sparse,large,323,O0,16056,dynamic,71,.050
string,sparse,large,323,O0,900312,static,40781,.759
string,sparse,large,323,O1,16064,dynamic,76,.050
string,sparse,large,323,O1,900280,static,40856,.749
string,sparse,large,323,O2,16064,dynamic,69,.051
string,sparse,large,323,O2,900280,static,40769,.749
string,sparse,large,323,O3,16064,dynamic,71,.051
string,sparse,large,323,O3,900280,static,40776,.752
string,sparse,medium,379,O0,16104,dynamic,75,.050
string,sparse,medium,379,O0,900360,static,40751,.748
string,sparse,medium,379,O1,16112,dynamic,74,.049
string,sparse,medium,379,O1,900328,static,40807,.744
string,sparse,medium,379,O2,16112,dynamic,78,.051
string,sparse,medium,379,O2,900328,static,40813,.749
string,sparse,medium,379,O3,16112,dynamic,84,.050
string,sparse,medium,379,O3,900328,static,40884,.770
string,sparse,small,288,O0,16096,dynamic,71,.051
string,sparse,small,288,O0,900352,static,40878,.742
string,sparse,small,288,O1,16104,dynamic,77,.050
string,sparse,small,288,O1,900328,static,40825,.748
string,sparse,small,288,O2,16104,dynamic,74,.050
string,sparse,small,288,O2,900328,static,40824,.746
string,sparse,small,288,O3,16064,dynamic,61,.050
string,sparse,small,288,O3,900328,static,40824,.749
